Date,Statutory federal minimum wage,Real federal minimum wage (June 2022 dollars)
1938-10-01,$0.25,$6.76
1938-11-01,$0.25,$6.71
1938-12-01,$0.25,$6.65
1939-01-01,$0.25,$6.59
1939-02-01,$0.25,$6.54
1939-03-01,$0.25,$6.49
1939-04-01,$0.25,$6.43
1939-05-01,$0.25,$6.38
1939-06-01,$0.25,$6.33
1939-07-01,$0.25,$6.27
1939-08-01,$0.25,$6.22
1939-09-01,$0.25,$6.17
1939-10-01,$0.30,$7.34
1939-11-01,$0.30,$7.28
1939-12-01,$0.30,$7.22
1940-01-01,$0.30,$7.16
1940-02-01,$0.30,$7.10
1940-03-01,$0.30,$7.04
1940-04-01,$0.30,$6.98
1940-05-01,$0.30,$6.93
1940-06-01,$0.30,$6.87
1940-07-01,$0.30,$6.81
1940-08-01,$0.30,$6.75
1940-09-01,$0.30,$6.70
1940-10-01,$0.30,$6.64
1940-11-01,$0.30,$6.59
1940-12-01,$0.30,$6.53
1941-01-01,$0.30,$6.48
1941-02-01,$0.30,$6.42
1941-03-01,$0.30,$6.37
1941-04-01,$0.30,$6.32
1941-05-01,$0.30,$6.27
1941-06-01,$0.30,$6.21
1941-07-01,$0.30,$6.16
1941-08-01,$0.30,$6.11
1941-09-01,$0.30,$6.06
1941-10-01,$0.30,$6.01
1941-11-01,$0.30,$5.96
1941-12-01,$0.30,$5.91
1942-01-01,$0.30,$5.86
1942-02-01,$0.30,$5.81
1942-03-01,$0.30,$5.77
1942-04-01,$0.30,$5.72
1942-05-01,$0.30,$5.67
1942-06-01,$0.30,$5.62
1942-07-01,$0.30,$5.58
1942-08-01,$0.30,$5.53
1942-09-01,$0.30,$5.48
1942-10-01,$0.30,$5.44
1942-11-01,$0.30,$5.39
1942-12-01,$0.30,$5.35
1943-01-01,$0.30,$5.30
1943-02-01,$0.30,$5.26
1943-03-01,$0.30,$5.22
1943-04-01,$0.30,$5.17
1943-05-01,$0.30,$5.13
1943-06-01,$0.30,$5.09
1943-07-01,$0.30,$5.05
1943-08-01,$0.30,$5.00
1943-09-01,$0.30,$4.96
1943-10-01,$0.30,$4.92
1943-11-01,$0.30,$4.88
1943-12-01,$0.30,$4.84
1944-01-01,$0.30,$4.80
1944-02-01,$0.30,$4.76
1944-03-01,$0.30,$4.72
1944-04-01,$0.30,$4.68
1944-05-01,$0.30,$4.64
