date,year,month,nominal_fed_mw,real_fed_mw
1938 Oct,1938,10,0.25,4.74
1938 Nov,1938,11,0.25,4.74
1938 Dec,1938,12,0.25,4.74
1939 Jan,1939,1,0.25,4.74
1939 Feb,1939,2,0.25,4.78
1939 Mar,1939,3,0.25,4.78
1939 Apr,1939,4,0.25,4.81
1939 May,1939,5,0.25,4.81
1939 Jun,1939,6,0.25,4.81
1939 Jul,1939,7,0.25,4.81
1939 Aug,1939,8,0.25,4.81
1939 Sep,1939,9,0.25,4.71
1939 Oct,1939,10,0.3,5.69
1939 Nov,1939,11,0.3,5.69
1939 Dec,1939,12,0.3,5.69
1940 Jan,1940,1,0.3,5.73
1940 Feb,1940,2,0.3,5.69
1940 Mar,1940,3,0.3,5.69
1940 Apr,1940,4,0.3,5.69
1940 May,1940,5,0.3,5.69
1940 Jun,1940,6,0.3,5.65
1940 Jul,1940,7,0.3,5.69
1940 Aug,1940,8,0.3,5.69
1940 Sep,1940,9,0.3,5.69
1940 Oct,1940,10,0.3,5.69
1940 Nov,1940,11,0.3,5.69
1940 Dec,1940,12,0.3,5.65
1941 Jan,1941,1,0.3,5.65
1941 Feb,1941,2,0.3,5.65
1941 Mar,1941,3,0.3,5.61
1941 Apr,1941,4,0.3,5.57
1941 May,1941,5,0.3,5.53
1941 Jun,1941,6,0.3,5.42
1941 Jul,1941,7,0.3,5.42
1941 Aug,1941,8,0.3,5.35
1941 Sep,1941,9,0.3,5.28
1941 Oct,1941,10,0.3,5.21
1941 Nov,1941,11,0.3,5.18
1941 Dec,1941,12,0.3,5.14
1942 Jan,1942,1,0.3,5.08
1942 Feb,1942,2,0.3,5.04
1942 Mar,1942,3,0.3,4.98
1942 Apr,1942,4,0.3,4.95
1942 May,1942,5,0.3,4.89
1942 Jun,1942,6,0.3,4.89
1942 Jul,1942,7,0.3,4.86
1942 Aug,1942,8,0.3,4.83
1942 Sep,1942,9,0.3,4.83
1942 Oct,1942,10,0.3,4.77
1942 Nov,1942,11,0.3,4.74
1942 Dec,1942,12,0.3,4.72
1943 Jan,1943,1,0.3,4.72
1943 Feb,1943,2,0.3,4.72
1943 Mar,1943,3,0.3,4.63
1943 Apr,1943,4,0.3,4.58
1943 May,1943,5,0.3,4.55
1943 Jun,1943,6,0.3,4.55
1943 Jul,1943,7,0.3,4.58
1943 Aug,1943,8,0.3,4.61
1943 Sep,1943,9,0.3,4.58
1943 Oct,1943,10,0.3,4.58
1943 Nov,1943,11,0.3,4.58
1943 Dec,1943,12,0.3,4.58
1944 Jan,1944,1,0.3,4.58
1944 Feb,1944,2,0.3,4.58
1944 Mar,1944,3,0.3,4.58
1944 Apr,1944,4,0.3,4.55
1944 May,1944,5,0.3,4.55
1944 Jun,1944,6,0.3,4.53
1944 Jul,1944,7,0.3,4.5
1944 Aug,1944,8,0.3,4.5
1944 Sep,1944,9,0.3,4.5
1944 Oct,1944,10,0.3,4.5
1944 Nov,1944,11,0.3,4.5
1944 Dec,1944,12,0.3,4.48
1945 Jan,1945,1,0.3,4.48
1945 Feb,1945,2,0.3,4.48
1945 Mar,1945,3,0.3,4.48
1945 Apr,1945,4,0.3,4.48
1945 May,1945,5,0.3,4.45
1945 Jun,1945,6,0.3,4.4
1945 Jul,1945,7,0.3,4.4
1945 Aug,1945,8,0.3,4.4
1945 Sep,1945,9,0.3,4.4
1945 Oct,1945,10,0.4,5.87
1945 Nov,1945,11,0.4,5.87
1945 Dec,1945,12,0.4,5.84
